x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89633.82513892684,43127.717903947334,6.5,0.0,0.0,0.9043778111673813,0.426732673541758,6.829855244038635
89633.39138634376,43128.244476720196,6.5,0.0,0.0,0.9003756560941253,0.43511340810537374,6.859732437727883
89632.94975751951,43128.82176744809,6.5,0.0,0.0,0.8934500118248417,0.4491626391076958,6.902735594434539
89632.54444933565,43129.384044823295,6.5,0.0,0.0,0.8878143932054645,0.4602016984075708,6.945363425504717
89632.168317289,43129.929539729164,6.5,0.0,0.0,0.8842309209765156,0.4670499741880125,7.01004900052239
89631.77119228577,43130.51700027121,6.5,0.0,0.0,0.8835274267731346,0.4683794254017178,7.086730666459283
89631.36730543902,43131.11077678085,6.5,0.0,0.0,0.8845542184034254,0.4664373856207338,7.146824188335002
89630.95733493431,43131.70590155184,6.5,0.0,0.0,0.8862080685691823,0.4632874477070142,7.196207194325135
89630.53876714046,43132.30283786468,6.5,0.0,0.0,0.8877706071284261,0.460286160033979,7.262061773387019
89630.11400663771,43132.901889621455,6.5,0.0,0.0,0.8879517360388217,0.4599366417949788,7.313473324917277
89629.6857728744,43133.51051394456,6.5,0.0,0.0,0.8866852574205604,0.4623735008335087,7.362837636420094
89629.26073714967,43134.12414710405,6.5,0.0,0.0,0.8845243222036668,0.4664940765220323,7.431349060457114
89628.8417181903,43134.743867312565,6.5,0.0,0.0,0.8813549707100803,0.47245467042313544,7.495424775790921
89628.42798006366,43135.376954490144,6.5,0.0,0.0,0.8783357673842135,0.4780442236170048,7.534486321448474
89628.00123761152,43136.043822948326,6.5,0.0,0.0,0.8766111754704495,0.48119938387358385,7.563258494990942
89627.61371893453,43136.65644469734,6.5,0.0,0.0,0.8765066165397338,0.48138981206717285,7.628857324622828
89627.17892709307,43137.33720189679,6.5,0.0,0.0,0.8782236679715894,0.4782501322681757,7.692209953532523
89626.75497416823,43137.98601610695,6.5,0.0,0.0,0.8811960728149685,0.4727509717128848,7.730231084583923
89626.34015030753,43138.6009077904,6.5,0.0,0.0,0.8851825865044965,0.4652437947455178,7.7845425416258305
89625.88811398252,43139.2450447067,6.5,0.0,0.0,0.8892448371552052,0.4574315463463495,7.836841545639563
89625.42147988363,43139.886129181854,6.5,0.0,0.0,0.8923540683785878,0.45133603517576876,7.894735628733524
89624.94849065402,43140.52226419682,6.5,0.0,0.0,0.8939752874330987,0.4481162633278428,7.946393704306776
89624.46951674024,43141.16076654928,6.5,0.0,0.0,0.8942203771707475,0.4476269842766475,8.00054133648027
89623.98634201562,43141.80760287508,6.5,0.0,0.0,0.8931145151152868,0.44982937086231484,8.054196417469532
89623.50558997244,43142.46179846099,6.5,0.0,0.0,0.8910543950989496,0.45389653553959314,8.09347146617247
89623.00745023915,43143.15433441018,6.5,0.0,0.0,0.8895101007249204,0.4569155071874251,8.136979838840356
