s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
48.5889704, 89622.3336828, 43164.6885506, -0.1850674, -0.1876949, 8.7451775, 0.1029961
49.2715318, 89622.9947769, 43164.5187135, -0.3200979, -0.2072475, 8.7554684, 0.1552078
49.9527495, 89623.6241642, 43164.2580812, -0.4665756, -0.2170221, 8.7693482, 0.1891993
50.6425579, 89624.2163875, 43163.9043762, -0.6068899, -0.1883043, 8.7850453, 0.1971975
51.3526201, 89624.7729849, 43163.4634822, -0.7290885, -0.1558040, 8.8007709, 0.2072900
52.0912088, 89625.2966384, 43162.9426172, -0.8325904, -0.1251646, 8.8191611, 0.2645018
52.8631006, 89625.7900299, 43162.3489996, -0.9187200, -0.0989488, 8.8460510, 0.3347348
53.6702325, 89626.2558414, 43161.6898475, -0.9896120, -0.0776222, 8.8788914, 0.3278918
54.5123521, 89626.6967546, 43160.9723791, -1.0475178, -0.0606576, 8.9069732, 0.3040299
55.3875673, 89627.1154518, 43160.2038126, -1.0944698, -0.0472235, 8.9375027, 0.2915934
56.2927746, 89627.5146146, 43159.3913662, -1.1321652, -0.0365028, 8.9650705, 0.2498675
57.2239813, 89627.8969252, 43158.5422581, -1.1619559, -0.0278007, 8.9886970, 0.2722807
58.1765463, 89628.2650653, 43157.6637064, -1.1848808, -0.0205583, 9.0221017, 0.3886727
59.1453598, 89628.6217171, 43156.7629295, -1.2017081, -0.0143308, 9.0713973, 0.4858109
60.1249828, 89628.9695615, 43155.8471427, -1.2130054, -0.0091759, 9.1264156, 0.4925297
61.1106320, 89629.3109698, 43154.9225105, -1.2207368, -0.0065366, 9.1774811, 0.4029897
62.0996187, 89629.6475334, 43153.9925537, -1.2259422, -0.0040041, 9.2131959, 0.2333123
63.0895456, 89629.9807231, 43153.0603842, -1.2286758, -0.0015227, 9.2276524, 0.1624065
64.0779865, 89630.3120098, 43152.1291138, -1.2289558, 0.0009624, 9.2480040, 0.2263836
65.0625040, 89630.6428642, 43151.2018544, -1.2267640, 0.0035070, 9.2759290, 0.3151142
66.0406677, 89630.9747571, 43150.2817179, -1.2220450, 0.0061702, 9.3146399, 0.4120168
67.0100729, 89631.3091595, 43149.3718159, -1.2147037, 0.0090167, 9.3620362, 0.4577806
67.9683601, 89631.6475420, 43148.4752606, -1.2046034, 0.0121191, 9.4089020, 0.4570493
68.9132369, 89631.9913756, 43147.5951636, -1.1915605, 0.0155614, 9.4544911, 0.5091650
69.8425032, 89632.3421311, 43146.7346368, -1.1753404, 0.0194414, 9.5097809, 0.5521090
70.7540793, 89632.7012792, 43145.8967921, -1.1556507, 0.0238752, 9.5613855, 0.4202021
71.6460412, 89633.0702908, 43145.0847413, -1.1321347, 0.0289997, 9.5891414, 0.3677169
72.5166611, 89633.4506367, 43144.3015963, -1.1043639, 0.0349755, 9.6289332, 0.4216187
73.3644583, 89633.8437878, 43143.5504690, -1.0718319, 0.0419874, 9.6644020, 0.3815117
74.1882603, 89634.2512148, 43142.8344711, -1.0339505, 0.0502395, 9.6949381, 0.3454839
74.9872784, 89634.6743885, 43142.1567146, -0.9900524, 0.0599410, 9.7222417, 0.2883439
75.7611995, 89635.1147799, 43141.5203112, -0.9394049, 0.0712757, 9.7416076, 0.0662449
76.5102957, 89635.5738596, 43140.9283729, -0.8812446, 0.0843447, 9.7326136, -0.8536650
77.2355538, 89636.0530986, 43140.3840115, -0.8148413, 0.0990723, 9.6115404, -1.1627147
77.9388194, 89636.5539677, 43139.8903388, -0.7396059, 0.1150742, 9.5604307, -0.4427801
78.6229480, 89637.0779376, 43139.4504667, -0.6552485, 0.1315075, 9.5474126, -0.1321734
79.2919443, 89637.6264792, 43139.0675071, -0.5619776, 0.1469714, 9.5417054, -0.0983668
79.9510604, 89638.2010632, 43138.7445717, -0.4607024, 0.1595750, 9.5337193, -0.1646370
80.6068172, 89638.8031607, 43138.4847725, -0.3531613, 0.1672873, 9.5189909, -0.3562266
81.2669127, 89639.4342422, 43138.2912212, -0.2418791, 0.1685522, 9.4844252, -0.7632337
81.9400056, 89640.0957787, 43138.1670298, -0.1299027, 0.1626425, 9.4114887, -1.2022516
82.6332088, 89640.7869851, 43138.1144517, -0.0241300, 0.1436619, 9.3096218, -1.1282128
83.3450096, 89641.4985571, 43138.1324988, 0.0733728, 0.1312465, 9.2415276, -1.1227278
84.0708551, 89642.2191796, 43138.2194176, 0.1658783, 0.1244393, 9.1345983, -1.4490559
84.8055427, 89642.9375376, 43138.3734551, 0.2563550, 0.1225617, 9.0096085, -1.4991899
85.5436823, 89643.6423161, 43138.5928577, 0.3475725, 0.1252548, 8.8895889, -1.3295961
86.2801193, 89644.3221999, 43138.8758724, 0.4422126, 0.1324267, 8.7893038, -1.2083537
87.0103618, 89644.9658741, 43139.2207458, 0.5429459, 0.1441273, 8.6879374, -1.0425160
