s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
62.9398753, 89614.0714109, 43155.2002273, 0.4294841, -0.0471927, 9.5544879, -1.6000000
63.9389209, 89613.6787461, 43156.1180456, 0.3773159, -0.0575360, 9.3856961, -1.6000000
64.9379665, 89613.3391226, 43157.0592791, 0.3124983, -0.0735779, 9.2138128, -1.6000000
65.9370122, 89613.0703331, 43158.0204073, 0.2298217, -0.0919792, 9.0386614, -1.6000000
66.9360578, 89612.8909660, 43158.9998925, 0.1296356, -0.1086484, 8.8600482, -1.6000000
67.9351034, 89612.8167384, 43160.0280075, 0.0147789, -0.1091634, 8.6777594, -1.6000000
68.9341491, 89612.8605768, 43161.0626403, -0.1011163, -0.1189113, 8.4915583, -1.6000000
69.9331947, 89613.0184072, 43162.0171940, -0.2336835, -0.1637159, 8.3011816, -1.6000000
70.9322404, 89613.3448711, 43162.9700702, -0.4361517, -0.2206576, 8.1063352, 0.9900000
71.9312860, 89613.8475737, 43163.8077071, -0.6365321, -0.1699218, 8.2274407, -0.3329716
72.9303316, 89614.4672588, 43164.5407562, -0.7584504, -0.1290997, 8.1869086, -1.6000000
73.9293773, 89615.2000258, 43165.2032349, -0.9260665, -0.2078423, 7.9892757, -1.6000000
74.9284229, 89616.0756969, 43165.7146786, -1.1656945, -0.2391493, 7.7866283, 0.9900000
75.9274686, 89617.0276911, 43166.0111632, -1.3588019, -0.1587717, 7.9126286, 0.9900000
76.9265142, 89618.0268543, 43166.1504053, -1.5010178, -0.1298955, 8.0366536, 0.9900000
77.9255598, 89618.9892106, 43166.1539028, -1.6422299, -0.1762150, 8.1587935, 0.9900000
78.9246055, 89619.9422339, 43166.0008750, -1.8161043, -0.1668419, 8.2791317, 0.9900000
79.9236511, 89620.9226546, 43165.6754418, -1.9550374, -0.1026937, 8.3977457, 0.9900000
80.9226968, 89621.7953608, 43165.2769987, -2.0394654, -0.0790036, 8.5147074, 0.9900000
81.9217424, 89622.6930867, 43164.7766632, -2.1190312, -0.0788339, 8.6300842, 0.9900000
82.9207880, 89623.5541056, 43164.1983504, -2.2086725, -0.0971629, 8.7439387, 0.9900000
83.9198337, 89624.3480815, 43163.5463454, -2.3074132, -0.0938622, 8.8563296, 0.9900000
84.9188793, 89625.0542078, 43162.8449770, -2.3966475, -0.0844384, 8.9673120, 0.9900000
85.9179249, 89625.6877917, 43162.1015926, -2.4725914, -0.0703785, 9.0769375, 0.9900000
86.9169706, 89626.2805918, 43161.2988456, -2.5364493, -0.0579824, 9.1852547, 0.9900000
87.9160162, 89626.8264105, 43160.4625808, -2.5881151, -0.0453892, 9.2923095, 0.9900000
88.9150619, 89627.3329340, 43159.6039740, -2.6269552, -0.0325082, 9.3981448, 0.9900000
89.9141075, 89627.8114370, 43158.7276196, -2.6558130, -0.0265360, 9.5028015, 0.9900000
90.9131531, 89628.2666770, 43157.8386466, -2.6800639, -0.0220162, 9.6063180, 0.9900000
91.9121988, 89628.7024487, 43156.9394869, -2.6997897, -0.0174655, 9.7087309, 0.9900000
92.9112444, 89629.1220385, 43156.0334238, -2.7155422, -0.0144051, 9.8100748, 0.9900000
93.9102901, 89629.5287244, 43155.1210156, -2.7286128, -0.0117679, 9.9103823, 0.9900000
94.9093357, 89629.9249125, 43154.2032836, -2.7390670, -0.0091524, 10.0096847, 0.9900000
95.9083813, 89630.3124610, 43153.2825311, -2.7468746, -0.0064547, 10.1080116, 0.9900000
96.9074270, 89630.6940551, 43152.3593210, -2.7519608, -0.0037291, 10.2053911, 0.9900000
97.9064726, 89631.0723225, 43151.4344123, -2.7543271, -0.0010080, 10.3018503, 0.9900000
98.9055183, 89631.4496998, 43150.5089871, -2.7540293, 0.0015598, 10.3974145, 0.9900000
99.9045639, 89631.8284779, 43149.5842505, -2.7512177, 0.0040689, 10.4921084, 0.9900000
100.9036095, 89632.2108207, 43148.6615246, -2.7458957, 0.0065912, 10.5859553, -0.8302458
101.9026552, 89632.5992621, 43147.7413566, -2.7378812, 0.0096235, 10.5073090, -1.6000000
102.9017008, 89632.9964994, 43146.8250420, -2.7266370, 0.0128878, 10.3540619, -1.6000000
103.9007464, 89633.4056343, 43145.9136073, -2.7121504, 0.0161011, 10.1985122, -1.6000000
104.8997921, 89633.8299635, 43145.0074038, -2.6949338, 0.0177468, 10.0405530, -1.6000000
105.8988377, 89634.2703857, 43144.1087312, -2.6767393, 0.0186494, 9.8800688, -1.6000000
106.8978834, 89634.7261838, 43143.2209868, -2.6575840, 0.0197819, 9.7169343, -1.6000000
107.8969290, 89635.1986502, 43142.3451740, -2.6339368, 0.0324236, 9.5510139, -1.6000000
108.8959746, 89635.6988614, 43141.4858246, -2.5916610, 0.0523491, 9.3821597, -1.6000000
109.8950203, 89636.2463063, 43140.6487348, -2.5302710, 0.0697556, 9.2102103, -1.6000000
110.8940659, 89636.8494723, 43139.8526491, -2.4543247, 0.0810610, 9.0349891, -1.6000000
111.8931116, 89637.5155198, 43139.1078305, -2.3676031, 0.0931215, 8.8563018, -1.6000000
112.8921572, 89638.2507395, 43138.4262105, -2.2664738, 0.1091881, 8.6739343, -1.6000000
113.8912028, 89639.0745864, 43137.8168539, -2.1473339, 0.1175266, 8.4876493, -1.6000000
114.8902485, 89639.9757627, 43137.3067171, -2.0231043, 0.1255597, 8.2971829, -1.6000000
115.8892941, 89640.8818745, 43136.9376026, -1.8868640, 0.1584981, 8.1022403, -1.6000000
116.8883398, 89641.8467312, 43136.7150381, -1.6972203, 0.2220663, 7.9024903, -1.6000000
117.8873854, 89642.8379836, 43136.7055384, -1.4596492, 0.2447158, 7.6975585, 0.9900000
118.8864310, 89643.7773100, 43136.9196851, -1.2409343, 0.2040633, 7.8249931, 0.9900000
119.8854767, 89644.6737271, 43137.3283752, -1.0469989, 0.1925956, 7.9503853, 0.9900000
120.8845223, 89645.4937262, 43137.9157270, -0.8502899, 0.1993845, 8.0738304, 0.9900000
121.8835679, 89646.1768132, 43138.6472808, -0.6562240, 0.1791599, 8.1954163, 0.9900000
122.8826136, 89646.7174735, 43139.4895871, -0.4886539, 0.1577353, 8.3152245, 0.9900000
123.8816592, 89647.1129121, 43140.3938262, -0.3358942, 0.1597360, 8.4333308, 0.9900000
124.8807049, 89647.3579557, 43141.3295086, -0.1754083, 0.1657175, 8.5498058, 0.9900000
125.8797505, 89647.4539525, 43142.3443682, -0.0177667, 0.1394393, 8.6647152, 0.9900000
126.8787961, 89647.4103484, 43143.3152327, 0.1032652, 0.1133857, 8.7781205, 0.9900000
127.8778418, 89647.2539468, 43144.2973978, 0.2114294, 0.1063949, 8.8900793, 0.9900000
128.8768874, 89646.9810753, 43145.2954096, 0.3232043, 0.1112791, 9.0006455, 0.9900000
129.8759331, 89646.6082283, 43146.2319071, 0.4314203, 0.0957525, 9.1098700, 0.9900000
130.8749787, 89646.1509419, 43147.1206374, 0.5150680, 0.0721453, 9.2178002, 0.9900000
131.8740243, 89645.6287753, 43147.9767394, 0.5768776, 0.0515454, 9.3244813, 0.9900000
132.8730700, 89645.0605289, 43148.8078481, 0.6197896, 0.0350037, 9.4299556, 0.9900000
