s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
41.9757566, 89614.5238370, 43163.1491957, 1.0294882, -0.1582589, 8.0648103, -0.5831959
42.7776614, 89614.9798579, 43163.8088139, 0.8995238, -0.1747622, 8.0031520, -0.6751230
43.5635597, 89615.5092039, 43164.3897002, 0.7547449, -0.1884110, 7.9315622, -0.7299013
44.3506130, 89616.1222748, 43164.8832556, 0.6008869, -0.1929023, 7.8577457, -0.6840282
45.1202655, 89616.7893450, 43165.2671597, 0.4301657, -0.1936396, 7.7928212, -0.5720966
45.8996184, 89617.5242746, 43165.5265234, 0.2599347, -0.1923982, 7.7400252, -0.4777666
46.6675134, 89618.2798430, 43165.6635600, 0.0943930, -0.1846980, 7.6949259, -0.3602259
47.5860692, 89619.1981487, 43165.6849962, -0.0451826, -0.1723004, 7.6651147, -0.2296693
48.3502858, 89619.9561551, 43165.5877683, -0.1850074, -0.1572536, 7.6465682, -0.1539252
49.1051360, 89620.6887997, 43165.4060247, -0.2948326, -0.1417895, 7.6332707, -0.0980826
49.8686209, 89621.4070578, 43165.1471532, -0.3914343, -0.1301250, 7.6266136, -0.0338037
50.6317971, 89622.0985266, 43164.8241846, -0.4806585, -0.1190038, 7.6264738, 0.0222941
51.3958101, 89622.7599112, 43164.4417104, -0.5667300, -0.1064683, 7.6310003, 0.0713351
52.1615061, 89623.3879239, 43164.0036576, -0.6470355, -0.0966418, 7.6406965, 0.1195624
52.9282379, 89623.9817156, 43163.5185916, -0.7188558, -0.0884446, 7.6548176, 0.1532350
53.6971249, 89624.5429067, 43162.9929950, -0.7824579, -0.0809512, 7.6714262, 0.1789082
54.4680439, 89625.0732360, 43162.4334711, -0.8367987, -0.0732431, 7.6905903, 0.2146946
55.2345615, 89625.5724343, 43161.8517923, -0.8857285, -0.0655850, 7.7139496, 0.2555686
56.0044406, 89626.0450708, 43161.2440681, -0.9356499, -0.0579895, 7.7416532, 0.2829824
56.7848033, 89626.4918823, 43160.6042827, -0.9823545, -0.0516984, 7.7708174, 0.3016422
57.5692724, 89626.9134610, 43159.9427216, -1.0214143, -0.0464519, 7.8021052, 0.2918767
58.3561372, 89627.3122384, 43159.2643907, -1.0541085, -0.0413448, 7.8294123, 0.2588816
59.2579062, 89627.7475718, 43158.4746616, -1.0805488, -0.0369104, 7.8545852, 0.2564296
59.9465964, 89628.0610070, 43157.8614302, -1.1058903, -0.0327164, 7.8810594, 0.2865726
60.7379414, 89628.4111123, 43157.1517450, -1.1256089, -0.0283475, 7.9115282, 0.3301029
61.5340901, 89628.7445663, 43156.4287920, -1.1512767, -0.0244080, 7.9465340, 0.3842904
62.3293734, 89629.0592855, 43155.6984307, -1.1754035, -0.0207165, 7.9878789, 0.4309955
63.1363917, 89629.3616860, 43154.9502112, -1.1920535, -0.0176272, 8.0321577, 0.4414641
63.9407307, 89629.6550805, 43154.2012914, -1.1997065, -0.0143731, 8.0755350, 0.4219723
64.7489181, 89629.9464371, 43153.4474492, -1.2040550, -0.0096465, 8.1161994, 0.3896430
65.5617547, 89630.2363387, 43152.6880675, -1.2105955, -0.0046977, 8.1535087, 0.3687382
66.3879549, 89630.5241298, 43151.9136109, -1.2185112, -0.0004248, 8.1899876, 0.3808091
67.2174464, 89630.8076208, 43151.1340669, -1.2202167, 0.0028236, 8.2294348, 0.3938825
68.0401597, 89631.0915658, 43150.3619059, -1.2155422, 0.0056719, 8.2685350, 0.4007493
68.8790178, 89631.3855606, 43149.5762534, -1.2049431, 0.0090742, 8.3094186, 0.4178787
69.7108110, 89631.6892166, 43148.8018678, -1.1907692, 0.0128975, 8.3519156, 0.4215910
70.5519799, 89632.0061264, 43148.0226803, -1.1793542, 0.0170327, 8.3935147, 0.3978782
71.3979963, 89632.3329063, 43147.2423222, -1.1684624, 0.0218329, 8.4314485, 0.3766851
72.2465050, 89632.6696355, 43146.4634895, -1.1539430, 0.0260899, 8.4687934, 0.3673465
73.0986349, 89633.0214434, 43145.6873731, -1.1328313, 0.0293536, 8.5047624, 0.3484784
73.9541635, 89633.3937939, 43144.9171236, -1.1014427, 0.0330947, 8.5380080, 0.3442728
74.8132800, 89633.7968541, 43144.1584250, -1.0594560, 0.0371109, 8.5733136, 0.3545604
75.7611583, 89634.2778285, 43143.3416405, -1.0208006, 0.0409028, 8.6088011, 0.3436737
76.6757919, 89634.7701986, 43142.5708446, -0.9884178, 0.0464503, 8.6418108, 0.3120835
77.4255659, 89635.1931642, 43141.9517637, -0.9552073, 0.0544853, 8.6709932, 0.2657256
78.2966155, 89635.7060204, 43141.2476998, -0.9185451, 0.0650768, 8.6947835, 0.1789933
79.2126798, 89636.2776355, 43140.5318577, -0.8703292, 0.0790204, 8.7063957, 0.0546164
80.0407581, 89636.8298099, 43139.9147539, -0.7971931, 0.0909086, 8.7048625, -0.0598031
80.9170839, 89637.4674593, 43139.3136298, -0.7015287, 0.0991787, 8.6934488, -0.1336644
81.7897576, 89638.1638103, 43138.7876502, -0.5894670, 0.1048616, 8.6774723, -0.1643254
82.6465422, 89638.9026342, 43138.3538079, -0.4667617, 0.1046363, 8.6600314, -0.1515390
