s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
165.6000000,89621.4337662,43181.5754187,-4.6935712,-0.1705511,9.4403324,-0.7815870
166.2000000,89621.4540975,43182.1747231,-4.8026880,-0.1816436,9.4082530,-0.9229136
166.8000000,89621.5417268,43182.7677569,-4.9114259,-0.1828005,9.3226170,-1.2519077
167.4000000,89621.6908636,43183.3485317,-5.0220639,-0.1850088,9.2471084,-1.0605811
168.0000000,89621.9065800,43183.9080335,-5.1333413,-0.1794069,9.1849851,-1.0044749
168.6000000,89622.1801575,43184.4414001,-5.2373112,-0.1774634,9.1158758,-1.1613936
169.2000000,89622.5066978,43184.9442984,-5.3462763,-0.1752666,9.0321010,-1.0196254
169.8000000,89622.8893211,43185.4061363,-5.4474569,-0.1535160,8.9804089,-0.6763243
170.4000000,89623.3103392,43185.8331977,-5.5305751,-0.1397058,8.9417277,-0.6034299
171.0000000,89623.7641351,43186.2253855,-5.6151196,-0.1413179,8.8994272,-0.5104862
171.6000000,89624.2510866,43186.5755515,-5.7001023,-0.1322604,8.8728936,-0.4664005
172.2000000,89624.7646883,43186.8853340,-5.7738119,-0.1225086,8.8363497,-0.6101533
172.8000000,89625.2978052,43187.1601819,-5.8471489,-0.1264062,8.7900332,-0.4549567
173.4000000,89625.8511909,43187.3915871,-5.9254526,-0.1263030,8.7742398,-0.3612256
174.0000000,89626.4206751,43187.5799292,-5.9987000,-0.1169278,8.7406305,-0.5055789
174.6000000,89627.0018931,43187.7280718,-6.0657507,-0.1109389,8.7048289,-0.3781667
175.2000000,89627.5914967,43187.8385957,-6.1318274,-0.1124330,8.6884986,-0.3310811
175.8000000,89628.1872722,43187.9088711,-6.2006799,-0.1179800,8.6591021,-0.3849288
176.4000000,89628.7863693,43187.9374034,-6.2734069,-0.1233184,8.6351542,-0.2178855
177.0000000,89629.3858937,43187.9205921,-6.3486123,-0.1280059,8.6288232,-0.1096847
177.6000000,89629.9825658,43187.8590280,-6.4270168,-0.1314422,8.6199004,-0.1233497
178.2000000,89630.5721995,43187.7487775,-6.5063236,-0.1280225,8.6116514,-0.0690414
178.8000000,89631.1515980,43187.5937547,-6.5806374,-0.1196615,8.6102798,-0.0122465
179.4000000,89631.7183510,43187.3974285,-6.6498865,-0.1123564,8.6099446,-0.0314476
180.0000000,89632.2709037,43187.1638598,-6.7154625,-0.1028509,8.6058968,-0.0730562
180.6000000,89632.8072171,43186.8950474,-6.7732971,-0.0861265,8.5997577,-0.2232659
181.2000000,89633.3291440,43186.5992549,-6.8188197,-0.0678599,8.5747426,-0.2537558
181.8000000,89633.8388253,43186.2827769,-6.8547291,-0.0529716,8.5642456,-0.0647505
182.4000000,89634.3382362,43185.9502585,-6.8823869,-0.0365432,8.5656699,0.0745602
183.0000000,89634.8296811,43185.6060567,-6.8985829,-0.0167109,8.5746911,0.1368090
183.6000000,89635.3180735,43185.2575297,-6.9024415,0.0030271,8.5848159,0.1496530
184.2000000,89635.8068495,43184.9095441,-6.8949501,0.0238802,8.5956098,0.1779320
184.8000000,89636.3004035,43184.5683770,-6.8737828,0.0440681,8.6096563,0.1553375
185.4000000,89636.8034505,43184.2414015,-6.8420669,0.0609506,8.6172605,0.0999624
186.0000000,89637.3175814,43183.9322414,-6.8006362,0.0788125,8.6235766,0.0500756
186.6000000,89637.8458677,43183.6480764,-6.7474999,0.0930607,8.6242287,-0.0275855
187.2000000,89638.3898738,43183.3952009,-6.6889842,0.0960277,8.6197382,-0.1297273
187.8000000,89638.9477711,43183.1746484,-6.6322692,0.0945349,8.6061687,-0.2286825
188.4000000,89639.5168686,43182.9849853,-6.5755371,0.0984041,8.5878519,-0.1901977
189.0000000,89640.0960861,43182.8290333,-6.5141965,0.1066272,8.5795919,-0.2210162
189.6000000,89640.6841349,43182.7104323,-6.4475852,0.1132172,8.5569391,-0.2905165
190.2000000,89641.2788720,43182.6328125,-6.3783552,0.1151060,8.5388507,-0.1692414
190.8000000,89641.8775887,43182.5965072,-6.3094839,0.1157788,8.5331549,-0.1068375
191.4000000,89642.4773778,43182.6012863,-6.2394316,0.1201135,8.5238264,-0.0934887
192.0000000,89643.0753626,43182.6489477,-6.1653510,0.1192627,8.5199934,-0.0196908
192.6000000,89643.6679662,43182.7422314,-6.0963409,0.1042432,8.5210530,0.0166275
193.2000000,89644.2536535,43182.8717030,-6.0402545,0.0920231,8.5223350,0.0456373
193.8000000,89644.8320639,43183.0307243,-5.9859111,0.0881168,8.5274791,0.1119241
194.4000000,89645.4003170,43183.2229859,-5.9345436,0.0797112,8.5380852,0.2214069
195.0000000,89645.9594369,43183.4405130,-5.8902479,0.0666168,8.5585971,0.3222051
195.6000000,89646.5084976,43183.6823188,-5.8546114,0.0512775,8.5832615,0.4294566
196.2000000,89647.0507319,43183.9391215,-5.8287098,0.0409140,8.6186381,0.5685970
196.8000000,89647.5865741,43184.2090528,-5.8055140,0.0316557,8.6624290,0.4489867
197.4000000,89648.1163302,43184.4907333,-5.7907236,0.0175332,8.6808359,0.3792480
198.0000000,89648.6439600,43184.7763979,-5.7844732,0.0093766,8.7148546,0.5818194
198.6000000,89649.1701640,43185.0646843,-5.7794716,0.0034102,8.7609501,0.5540977
199.2000000,89649.6949106,43185.3556129,-5.7803809,-0.0061318,8.7907502,0.5251701
199.8000000,89650.2216360,43185.6429407,-5.7868297,-0.0128703,8.8326396,0.5910502
200.4000000,89650.7500856,43185.9270745,-5.7958254,-0.0218664,8.8710501,0.3989017
201.0000000,89651.2818972,43186.2048810,-5.8130706,-0.0341509,8.8865996,0.4094901
201.6000000,89651.8198215,43186.4706182,-5.8368071,-0.0451399,8.9263455,0.4760831
202.2000000,89652.3641506,43186.7228431,-5.8672374,-0.0566218,8.9506011,0.4952582
202.8000000,89652.9172548,43186.9553776,-5.9047507,-0.0689153,8.9927444,0.5809173
203.4000000,89653.4789481,43187.1660851,-5.9499465,-0.0801037,9.0281192,0.5179037
204.0000000,89654.0506903,43187.3477137,-6.0008548,-0.0919385,9.0615831,0.3416248
204.6000000,89654.6309072,43187.5002445,-6.0602999,-0.1095500,9.0733597,0.2223715
205.2000000,89655.2200776,43187.6127566,-6.1323067,-0.1255389,9.0909929,0.1891624
205.8000000,89655.8160227,43187.6804224,-6.2109245,-0.1374535,9.0983289,0.0701287
206.4000000,89656.4154913,43187.6992888,-6.2972506,-0.1473524,9.1002424,-0.0188420
207.0000000,89657.0141020,43187.6635699,-6.3876942,-0.1536146,9.0958443,-0.2549183
207.6000000,89657.6070625,43187.5743036,-6.4815621,-0.1653210,9.0666114,-0.3623673
208.2000000,89658.1885839,43187.4274748,-6.5860834,-0.1798825,9.0478836,-0.6485385
208.8000000,89658.7502760,43187.2170328,-6.6974256,-0.1822733,8.9805972,-0.6418553
209.4000000,89659.2849058,43186.9454420,-6.8048216,-0.1836144,8.9621180,-0.8182988
210.0000000,89659.7884117,43186.6203782,-6.9177754,-0.1958350,8.8710296,-1.2760267
210.6000000,89660.2485964,43186.2360033,-7.0396073,-0.2030253,8.7895076,-0.8202843
211.2000000,89660.6590015,43185.7988337,-7.1614652,-0.2019657,8.7590391,-1.1538762
211.8000000,89661.0127083,43185.3149155,-7.2818829,-0.1986262,8.6314250,-1.4468187
212.4000000,89661.3069266,43184.7926349,-7.3997262,-0.2058841,8.5578924,-0.8473951
213.0000000,89661.5378842,43184.2394282,-7.5290309,-0.2259133,8.5126020,-1.1242426
213.6000000,89661.6887720,43183.6592023,-7.6706856,-0.2338628,8.3994108,-1.0925229
214.2000000,89661.7558564,43183.0635946,-7.8096036,-0.2284730,8.3565164,-0.9815145
214.8000000,89661.7418236,43182.4645396,-7.9447587,-0.2208866,8.2584648,-1.2505329
215.4000000,89661.6474517,43181.8726916,-8.0744443,-0.2070270,8.1748071,-0.6904005
216.0000000,89661.4801688,43181.2969865,-8.1931051,-0.1908447,8.1571192,-0.5600547
216.6000000,89661.2491507,43180.7435634,-8.3034879,-0.1756789,8.0924171,-0.8741186
217.2000000,89660.9597166,43180.2182088,-8.4039105,-0.1527421,8.0274988,-0.5852417
217.8000000,89660.6228616,43179.7218970,-8.4868043,-0.1287129,8.0049315,-0.4327535
218.4000000,89660.2506883,43179.2515017,-8.5584074,-0.1135278,7.9626258,-0.3708844
219.0000000,89659.8464731,43178.8083723,-8.6230024,-0.1015755,7.9490377,-0.1609488
219.6000000,89659.4167521,43178.3897929,-8.6802964,-0.0931519,7.9383287,-0.0619891
220.2000000,89658.9644355,43177.9957147,-8.7347874,-0.0862006,7.9396671,0.0288034
220.8000000,89658.4917337,43177.6263565,-8.7837245,-0.0818009,7.9426820,0.0759539
221.4000000,89658.0030455,43177.2783421,-8.8329614,-0.0825505,7.9511424,0.1760488
222.0000000,89657.4962916,43176.9572304,-8.8827698,-0.0785737,7.9692516,0.2184665
222.6000000,89656.9754346,43176.6595533,-8.9272512,-0.0686375,7.9840389,0.1188399
223.2000000,89656.4421428,43176.3847270,-8.9651261,-0.0583095,7.9871132,0.0696827
223.8000000,89655.9002151,43176.1273032,-8.9972265,-0.0517460,7.9945081,0.0877919
224.4000000,89655.3503611,43175.8872449,-9.0272192,-0.0457654,8.0002910,0.1505251
225.0000000,89654.7939436,43175.6627592,-9.0521454,-0.0365455,8.0170861,0.2617659
225.6000000,89654.2327912,43175.4503927,-9.0710755,-0.0255575,8.0394722,0.2176460
226.2000000,89653.6682778,43175.2471297,-9.0828146,-0.0124038,8.0495727,0.1946756
226.8000000,89653.1022886,43175.0479931,-9.0859605,0.0001015,8.0684937,0.2074832
227.4000000,89652.5365015,43174.8482839,-9.0826928,0.0122255,8.0804310,0.1234061
228.0000000,89651.9718324,43174.6454549,-9.0712894,0.0269291,8.0868204,0.1019883
228.6000000,89651.4107562,43174.4328985,-9.0503772,0.0412107,8.0955650,0.0952849
229.2000000,89650.8550756,43174.2066425,-9.0218347,0.0594128,8.1009444,0.0439767
229.8000000,89650.3070762,43173.9624363,-8.9790689,0.0840647,8.1020793,0.0471259
230.4000000,89649.7728302,43173.6895739,-8.9209584,0.1047271,8.1079242,0.0502823
231.0000000,89649.2569372,43173.3835236,-8.8533994,0.1178305,8.1095212,-0.0193530
231.6000000,89648.7644217,43173.0412527,-8.7795873,0.1317046,8.1050605,-0.0928451
232.2000000,89648.2992179,43172.6627026,-8.6953397,0.1486607,8.0957750,-0.0722072
232.8000000,89647.8711045,43172.2427107,-8.6012502,0.1630787,8.0943576,-0.0620289
233.4000000,89647.4849295,43171.7838232,-8.4996122,0.1748538,8.0865791,-0.0909651
234.0000000,89647.1504197,43171.2860487,-8.3914563,0.1814306,8.0808589,-0.0586928
234.6000000,89646.8717816,43170.7550551,-8.2818800,0.1822442,8.0778633,-0.0425809
235.2000000,89646.6535717,43170.1966603,-8.1728361,0.1818759,8.0745333,-0.0188601
235.8000000,89646.4964506,43169.6180971,-8.0636842,0.1808446,8.0750604,0.0412225
236.4000000,89646.4043401,43169.0256327,-7.9559187,0.1814799,8.0806592,0.0896378
237.0000000,89646.3745941,43168.4268318,-7.8458891,0.1869336,8.0883718,0.0739328
237.6000000,89646.4140284,43167.8284705,-7.7317001,0.1882433,8.0916280,0.1248006
238.2000000,89646.5206543,43167.2383330,-7.6199744,0.1792129,8.1068800,0.2633081
238.8000000,89646.6916837,43166.6636832,-7.5167347,0.1614680,8.1306035,0.2590146
239.4000000,89646.9170326,43166.1078983,-7.4262339,0.1450468,8.1451081,0.3757454
240.0000000,89647.1887884,43165.5732969,-7.3426670,0.1388653,8.1859612,0.5378169
240.6000000,89647.5034442,43165.0627615,-7.2596252,0.1369081,8.2239480,0.3436364
241.2000000,89647.8599142,43164.5803362,-7.1784142,0.1337669,8.2361030,0.3748173
241.8000000,89648.2530987,43164.1272794,-7.0990677,0.1294502,8.2785588,0.4392114
242.4000000,89648.6813037,43163.7072767,-7.0230975,0.1235652,8.2997679,0.4566699
243.0000000,89649.1384741,43163.3189949,-6.9507897,0.1213085,8.3445852,0.6592818
243.6000000,89649.6227690,43162.9650609,-6.8775392,0.1204847,8.3945764,0.4911512
244.2000000,89650.1317544,43162.6476566,-6.8062259,0.1148937,8.4147950,0.4751171
244.8000000,89650.6615014,43162.3661212,-6.7396643,0.1078145,8.4623310,0.6162302
245.4000000,89651.2081269,43162.1190812,-6.6768425,0.0997348,8.5021795,0.4084056
246.0000000,89651.7689254,43161.9061677,-6.6200071,0.0890226,8.5199734,0.2652632
246.6000000,89652.3400981,43161.7227045,-6.5700164,0.0841258,8.5395406,0.1712644
247.2000000,89652.9194345,43161.5668078,-6.5190447,0.0832094,8.5440400,0.0964457
247.8000000,89653.5063344,43161.4424200,-6.4701776,0.0784721,8.5530863,0.2150814
248.4000000,89654.0980838,43161.3438042,-6.4248701,0.0800017,8.5742160,0.2919074
249.0000000,89654.6937967,43161.2730398,-6.3741792,0.0884207,8.5939400,0.2685464
249.6000000,89655.2925191,43161.2348170,-6.3187695,0.0959468,8.6117140,0.2951385
250.2000000,89655.8923809,43161.2303711,-6.2590315,0.1036588,8.6350661,0.3044382
250.8000000,89656.4912491,43161.2637765,-6.1944030,0.1111156,8.6540212,0.2225715
251.4000000,89657.0866654,43161.3366819,-6.1257062,0.1168368,8.6659288,0.2102780
252.0000000,89657.6753870,43161.4518104,-6.0542007,0.1172158,8.6831391,0.1793960
252.6000000,89658.2542640,43161.6088171,-5.9850678,0.1134489,8.6907211,0.0662297
253.2000000,89658.8214299,43161.8039605,-5.9180801,0.1099968,8.6922840,0.0176384
253.8000000,89659.3742194,43162.0369118,-5.8530922,0.1023248,8.6931561,-0.0162695
254.4000000,89659.9113526,43162.3039448,-5.7953037,0.0920959,8.6900382,-0.0202900
255.0000000,89660.4336337,43162.5991113,-5.7425713,0.0908776,8.6903543,0.0503568
255.6000000,89660.9396755,43162.9212107,-5.6862466,0.0971092,8.6969916,0.1007826
256.2000000,89661.4254498,43163.2732012,-5.6260600,0.0947334,8.7042602,0.1708959
256.8000000,89661.8891746,43163.6537576,-5.5725872,0.0843133,8.7205520,0.1566575
257.4000000,89662.3346424,43164.0556244,-5.5248711,0.0790952,8.7258172,0.1576936
258.0000000,89662.7600306,43164.4786741,-5.4776734,0.0731788,8.7422384,0.2710871
258.6000000,89663.1656112,43164.9207118,-5.4370672,0.0602318,8.7630278,0.2340257
259.2000000,89663.5553028,43165.3769021,-5.4053954,0.0454469,8.7742857,0.3806382
259.8000000,89663.9321326,43165.8437832,-5.3825287,0.0266411,8.8150852,0.4856927
260.4000000,89664.3005724,43166.3173271,-5.3734247,0.0029575,8.8404032,0.4668745
261.0000000,89664.6688469,43166.7910019,-5.3789794,-0.0196690,8.8784589,0.4749692
261.6000000,89665.0425173,43167.2604143,-5.3970292,-0.0453226,8.9045993,0.2699931
262.2000000,89665.4276218,43167.7204574,-5.4333783,-0.0775834,8.9148437,0.0854476
262.8000000,89665.8343153,43168.1613931,-5.4901333,-0.1052143,8.9161012,-0.0476332
263.4000000,89666.2689709,43168.5747853,-5.5596168,-0.1234023,8.9084328,-0.1541809
264.0000000,89666.7327818,43168.9550995,-5.6382307,-0.1394444,8.8953324,-0.2789965
264.6000000,89667.2265787,43169.2951683,-5.7269040,-0.1577953,8.8707956,-0.5919036
265.2000000,89667.7501293,43169.5876670,-5.8275469,-0.1781975,8.8152625,-0.5822219
265.8000000,89668.3021063,43169.8222072,-5.9407988,-0.1944250,8.7915391,-0.7948754
266.4000000,89668.8775899,43169.9895214,-6.0607563,-0.2019228,8.7067660,-1.2204482
267.0000000,89669.4691669,43170.0861627,-6.1829333,-0.2082316,8.6233323,-0.7872917
267.6000000,89670.0683661,43170.1093007,-6.3106637,-0.2083115,8.5972086,-0.7069172
268.2000000,89670.6652856,43170.0532871,-6.4327593,-0.1909026,8.5246606,-0.8284630
268.8000000,89671.2521656,43169.9309027,-6.5397373,-0.1724429,8.4805875,-0.4203237
269.4000000,89671.8236615,43169.7494070,-6.6396453,-0.1617704,8.4651850,-0.1969599
270.0000000,89672.3748259,43169.5128614,-6.7338377,-0.1458395,8.4526670,0.0019744
270.6000000,89672.9024102,43169.2274437,-6.8146438,-0.1209287,8.4654653,0.1446682
271.2000000,89673.4083701,43168.9052636,-6.8789742,-0.1005665,8.4731741,0.2581219
271.8000000,89673.8949653,43168.5545188,-6.9353210,-0.0883729,8.5020214,0.3798711
272.4000000,89674.3615572,43168.1774292,-6.9850034,-0.0723018,8.5267902,0.3187840
273.0000000,89674.8110584,43167.7800526,-7.0220884,-0.0594439,8.5468848,0.2638548
